Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	3000	1325545468739	0.2500	0.2500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050242555437889504	1.0	37.026299007963374	0.37026299007963376	100.0	0.0	27.0	337.0	3.37	85.0	0.0	15.0	0.0	10.0	43.0
2	0	3000	1325545470719	0.2500	0.2500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.053950941854193905	1.0	37.14725424723367	0.3714725424723367	100.0	0.0	30.0	322.0	3.22	86.0	0.0	14.0	0.0	10.0	97.0
3	0	3000	1325545473167	0.2500	0.2500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05218086932531207	1.0	36.540167647326584	0.3654016764732658	100.0	0.0	29.0	408.0	4.08	79.0	1.0	20.0	0.0	10.0	142.0
4	0	3000	1325545474660	0.2500	0.2500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06154734045219358	1.0	39.15883005266764	0.39158830052667637	100.0	0.0	31.0	400.0	4.0	83.0	0.0	17.0	0.0	10.0	187.0
5	0	3000	1325545476677	0.2500	0.2500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05558230198765782	1.0	34.448170744089175	0.34448170744089174	100.0	0.0	28.0	267.0	2.67	86.0	0.0	14.0	0.0	10.0	229.0
6	0	3000	1325545478745	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050379053951671415	1.0	36.75905861824096	0.3675905861824096	100.0	0.0	30.0	298.0	2.98	82.0	0.0	18.0	0.0	10.0	278.0
7	0	3000	1325545481339	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05990248326925627	1.0	34.46105720743132	0.34461057207431317	100.0	0.0	26.0	363.0	3.63	77.0	0.0	23.0	0.0	10.0	328.0
8	0	3000	1325545483088	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051934248846820234	1.0	30.51609740743767	0.3051609740743767	100.0	0.0	21.0	156.0	1.56	93.0	0.0	7.0	0.0	10.0	362.0
9	0	3000	1325545485364	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05172766719233357	1.0	33.467914354993525	0.3346791435499352	100.0	0.0	29.0	267.0	2.67	87.0	0.0	13.0	0.0	10.0	405.0
10	0	3000	1325545489608	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05971925282449403	1.0	39.99636469149928	0.3999636469149928	100.0	0.0	27.0	426.0	4.26	75.0	0.0	25.0	0.0	10.0	456.0
11	0	3000	1325545490046	0.7500	0.7500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05663630729597618	1.0	36.29111134395268	0.3629111134395268	100.0	0.0	30.0	390.0	3.9	83.0	0.0	17.0	0.0	10.0	501.0
12	0	3000	1325545492469	0.7500	0.7500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050204105155814895	1.0	39.99491578685485	0.39994915786854845	100.0	0.0	25.0	314.0	3.14	83.0	0.0	17.0	0.0	10.0	542.0
13	0	3000	1325545494960	0.7500	0.7500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0648809261811993	1.0	38.117112886752736	0.38117112886752735	100.0	0.0	29.0	339.0	3.39	84.0	0.0	16.0	0.0	10.0	580.0
14	0	3000	1325545497953	0.7500	0.7500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052580006423297146	1.0	34.381416098161054	0.34381416098161055	100.0	0.0	28.0	285.0	2.85	85.0	0.0	15.0	0.0	10.0	620.0
15	0	3000	1325545500114	0.7500	0.7500	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05168881543980838	1.0	39.93977030980857	0.39939770309808575	100.0	0.0	30.0	413.0	4.13	78.0	0.0	22.0	0.0	10.0	668.0
16	0	3000	1325545502716	1.0000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2400.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05222009599194948	1.0	37.603326716348114	0.3760332671634811	100.0	0.0	22.0	318.0	3.18	82.0	0.0	18.0	0.0	10.0	714.0
17	0	3000	1325545506502	1.0000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2550.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050729280317427385	1.0	35.89011356276875	0.35890113562768744	100.0	0.0	26.0	324.0	3.24	86.0	0.0	14.0	0.0	10.0	760.0
18	0	3000	1325545508189	1.0000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2700.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05050437250255821	1.0	32.530559984280266	0.32530559984280266	100.0	0.0	30.0	265.0	2.65	91.0	0.0	9.0	0.0	10.0	790.0
19	0	3000	1325545511011	1.0000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2850.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051872392140690664	1.0	32.716779715280396	0.327167797152804	100.0	0.0	24.0	275.0	2.75	85.0	0.0	15.0	0.0	10.0	827.0
