Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	5000	1325549668377	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050199772864198314	1.0	31.758382483341386	0.31758382483341385	100.0	0.0	51.0	432.0	4.32	89.0	4.0	7.0	0.0	10.0	36.0
2	0	5000	1325549668448	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05526367251137243	1.0	26.981546449131123	0.2698154644913112	100.0	0.0	44.0	301.0	3.01	91.0	1.0	8.0	0.0	10.0	59.0
3	0	5000	1325549669914	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05313245734569655	1.0	31.621006788269042	0.3162100678826904	100.0	0.0	50.0	409.0	4.09	90.0	4.0	6.0	0.0	10.0	93.0
4	0	5000	1325549671452	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052949785698494505	1.0	33.109022705461555	0.33109022705461555	100.0	0.0	46.0	352.0	3.52	92.0	3.0	5.0	0.0	10.0	133.0
5	0	5000	1325549673151	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05245581812412458	1.0	40.0071129762599	0.40007112976259895	100.0	0.0	49.0	520.0	5.2	85.0	5.0	10.0	0.0	10.0	191.0
6	0	5000	1325549675075	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05605265643465578	1.0	35.98038225691258	0.3598038225691258	100.0	0.0	48.0	462.0	4.62	86.0	5.0	9.0	0.0	10.0	226.0
7	0	5000	1325549677333	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05251745141737525	1.0	35.83447368312995	0.3583447368312995	100.0	0.0	41.0	461.0	4.61	86.0	5.0	9.0	0.0	10.0	264.0
8	0	5000	1325549679990	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05036201844259443	1.0	41.76020446225231	0.4176020446225231	100.0	0.0	50.0	804.0	8.04	76.0	8.0	16.0	0.0	10.0	300.0
9	0	5000	1325549682928	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05016772270437714	1.0	35.33918629771982	0.3533918629771982	100.0	0.0	46.0	407.0	4.07	88.0	3.0	9.0	0.0	10.0	340.0
10	0	5000	1325549686208	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.059014182395043704	1.0	34.16229310191371	0.3416229310191371	100.0	0.0	49.0	555.0	5.55	86.0	2.0	12.0	0.0	10.0	378.0
11	0	5000	1325549689839	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05304170759030779	1.0	38.269657673011196	0.382696576730112	100.0	0.0	49.0	545.0	5.45	83.0	3.0	14.0	0.0	10.0	427.0
12	0	5000	1325549693802	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05284346689806738	1.0	34.1427416010231	0.34142741601023097	100.0	0.0	50.0	392.0	3.92	88.0	5.0	7.0	0.0	10.0	474.0
13	0	5000	1325549697924	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05658076973450781	1.0	42.065664714630564	0.42065664714630563	100.0	0.0	47.0	656.0	6.56	84.0	3.0	13.0	0.0	10.0	539.0
14	0	5000	1325549702513	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051891932798919176	1.0	31.7816735346234	0.317816735346234	100.0	0.0	37.0	417.0	4.17	89.0	4.0	7.0	0.0	10.0	579.0
15	0	5000	1325549707541	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05170351740507272	1.0	31.396509008348943	0.31396509008348944	100.0	0.0	43.0	335.0	3.35	92.0	3.0	5.0	0.0	10.0	610.0
16	0	5000	1325549713035	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2400.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05174890604867382	1.0	37.34083604959297	0.37340836049592974	100.0	0.0	51.0	456.0	4.56	88.0	4.0	8.0	0.0	10.0	653.0
17	0	5000	1325549718802	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2550.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.053759449225063566	1.0	37.87127348976318	0.37871273489763185	100.0	0.0	50.0	559.0	5.59	86.0	5.0	9.0	0.0	10.0	713.0
18	0	5000	1325549725008	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2700.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05743105426495915	1.0	34.945454615985014	0.34945454615985017	100.0	0.0	51.0	566.0	5.66	86.0	3.0	11.0	0.0	10.0	752.0
19	0	5000	1325549728743	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2850.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05275838953491298	1.0	36.2290448067919	0.362290448067919	100.0	0.0	48.0	675.0	6.75	82.0	3.0	15.0	0.0	10.0	794.0
20	0	5000	1325549735381	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3000.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.056307948062457494	1.0	31.44193903049508	0.3144193903049508	100.0	0.0	46.0	394.0	3.94	93.0	1.0	6.0	0.0	10.0	833.0
21	0	5000	1325549742418	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05443027958678644	1.0	34.56225021758899	0.3456225021758899	100.0	0.0	50.0	488.0	4.88	87.0	4.0	9.0	0.0	10.0	871.0
22	0	5000	1325549749991	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05352140442289153	1.0	33.640308670834	0.33640308670834	100.0	0.0	49.0	471.0	4.71	89.0	4.0	7.0	0.0	10.0	914.0
23	0	5000	1325549757947	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.053150933341904516	1.0	32.84322404487309	0.32843224044873087	100.0	0.0	47.0	525.0	5.25	84.0	6.0	10.0	0.0	10.0	955.0
24	0	5000	1325549766187	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05525848268243523	1.0	33.84772532134115	0.3384772532134115	100.0	0.0	47.0	490.0	4.9	90.0	1.0	9.0	0.0	10.0	993.0
25	0	5000	1325549775190	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05880818821148135	1.0	39.736983286318065	0.39736983286318067	100.0	0.0	49.0	629.0	6.29	83.0	5.0	12.0	0.0	10.0	1047.0
26	0	5000	1325549784554	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05075978736743197	1.0	35.23889309550543	0.3523889309550543	100.0	0.0	52.0	548.0	5.48	88.0	4.0	8.0	0.0	10.0	1091.0
27	0	5000	1325549794570	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05617438641032122	1.0	36.506582602174596	0.365065826021746	100.0	0.0	46.0	525.0	5.25	82.0	4.0	14.0	0.0	10.0	1126.0
28	0	5000	1325549805356	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05474539151339056	1.0	34.23581309404405	0.3423581309404405	100.0	0.0	48.0	469.0	4.69	88.0	1.0	11.0	0.0	10.0	1161.0
29	0	5000	1325549816146	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051944788743797855	1.0	37.9171667629595	0.37917166762959503	100.0	0.0	49.0	517.0	5.17	84.0	5.0	11.0	0.0	10.0	1202.0
30	0	5000	1325549826013	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05331659525738476	1.0	35.9227719444729	0.359227719444729	100.0	0.0	44.0	547.0	5.47	86.0	5.0	9.0	0.0	10.0	1251.0
31	0	5000	1325549838356	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05373285616967599	1.0	32.53363045840538	0.3253363045840538	100.0	0.0	52.0	380.0	3.8	92.0	5.0	3.0	0.0	10.0	1287.0
32	0	5000	1325549839176	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052195212639105315	1.0	31.73841530665173	0.3173841530665173	100.0	0.0	50.0	499.0	4.99	87.0	5.0	8.0	0.0	10.0	1320.0
33	0	5000	1325549851877	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052027989055878326	1.0	32.37034037009658	0.3237034037009658	100.0	0.0	50.0	417.0	4.17	91.0	3.0	6.0	0.0	10.0	1361.0
34	0	5000	1325549865177	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05071482529730022	1.0	32.8290799369271	0.328290799369271	100.0	0.0	51.0	417.0	4.17	90.0	3.0	7.0	0.0	10.0	1404.0
35	0	5000	1325549879407	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.059432005263726634	1.0	31.830220713088437	0.31830220713088436	100.0	0.0	46.0	469.0	4.69	91.0	1.0	8.0	0.0	10.0	1433.0
