Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	5000	1325549666446	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05158350336632364	1.0	42.8169944272087	0.428169944272087	100.0	0.0	52.0	800.0	8.0	76.0	4.0	20.0	0.0	10.0	57.0
2	0	5000	1325549669784	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05089731817570983	1.0	42.25910713410557	0.42259107134105567	100.0	0.0	47.0	746.0	7.46	79.0	5.0	16.0	0.0	10.0	106.0
3	0	5000	1325549671240	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05102316808273854	1.0	44.57833926648749	0.4457833926648749	100.0	0.0	49.0	832.0	8.32	74.0	5.0	21.0	0.0	10.0	154.0
4	0	5000	1325549672840	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06545052456022049	1.0	41.73501542979957	0.41735015429799566	100.0	0.0	51.0	672.0	6.72	80.0	7.0	13.0	0.0	10.0	207.0
5	0	5000	1325549674653	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06308646519814996	1.0	39.463715017564496	0.39463715017564494	100.0	0.0	47.0	543.0	5.43	84.0	5.0	11.0	0.0	10.0	252.0
6	0	5000	1325549676732	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06332070717293924	1.0	36.1210458987581	0.361210458987581	100.0	0.0	50.0	470.0	4.7	85.0	3.0	12.0	0.0	10.0	296.0
7	0	5000	1325549679125	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05012350616926978	1.0	45.60577443205648	0.4560577443205648	100.0	0.0	50.0	760.0	7.6	75.0	7.0	18.0	0.0	10.0	351.0
8	0	5000	1325549681792	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05367247529840191	1.0	42.55113288670839	0.42551132886708387	100.0	0.0	50.0	853.0	8.53	78.0	7.0	15.0	0.0	10.0	388.0
9	0	5000	1325549684737	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051595625219298925	1.0	45.27915516759534	0.4527915516759534	100.0	0.0	51.0	848.0	8.48	73.0	9.0	18.0	0.0	10.0	432.0
10	0	5000	1325549687885	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05954594846692149	1.0	37.60665894505598	0.3760665894505598	100.0	0.0	50.0	565.0	5.65	80.0	8.0	12.0	0.0	10.0	469.0
11	0	5000	1325549691424	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05426038111512586	1.0	41.96453027525887	0.4196453027525887	100.0	0.0	46.0	706.0	7.06	76.0	8.0	16.0	0.0	10.0	520.0
12	0	5000	1325549695309	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.07553611932985882	1.0	40.91650100114901	0.4091650100114901	100.0	0.0	38.0	580.0	5.8	82.0	4.0	14.0	0.0	10.0	566.0
13	0	5000	1325549699419	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05001110091197415	1.0	43.3194104694926	0.43319410469492603	100.0	0.0	50.0	798.0	7.98	78.0	6.0	16.0	0.0	10.0	622.0
14	0	5000	1325549703895	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050215716452442785	1.0	33.94558686321614	0.33945586863216143	100.0	0.0	49.0	459.0	4.59	86.0	4.0	10.0	0.0	10.0	659.0
15	0	5000	1325549708594	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05147965559631567	1.0	42.182109848281705	0.42182109848281707	100.0	0.0	52.0	694.0	6.94	78.0	7.0	15.0	0.0	10.0	707.0
