Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	5000	1325549668420	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0660861522416328	1.0	46.784044733877955	0.46784044733877955	100.0	0.0	48.0	838.0	8.38	75.0	5.0	20.0	0.0	10.0	54.0
2	0	5000	1325549669822	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05005583908224871	1.0	39.41116146256258	0.39411161462562583	100.0	0.0	49.0	631.0	6.31	80.0	6.0	14.0	0.0	10.0	98.0
3	0	5000	1325549671322	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05188711080420355	1.0	45.28181662985296	0.4528181662985296	100.0	0.0	50.0	937.0	9.37	66.0	10.0	24.0	0.0	10.0	156.0
4	0	5000	1325549673020	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.054911996798060164	1.0	43.2157256408509	0.432157256408509	100.0	0.0	49.0	716.0	7.16	78.0	9.0	13.0	0.0	10.0	204.0
5	0	5000	1325549674987	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05649542637559705	1.0	43.021838302753025	0.43021838302753024	100.0	0.0	48.0	794.0	7.94	74.0	8.0	18.0	0.0	10.0	256.0
6	0	5000	1325549677231	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06670612122001852	1.0	46.12822773236385	0.46128227732363847	100.0	0.0	48.0	677.0	6.77	76.0	8.0	16.0	0.0	10.0	306.0
7	0	5000	1325549679834	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05200518208915497	1.0	51.5994000458199	0.515994000458199	100.0	0.0	49.0	1064.0	10.64	65.0	7.0	28.0	0.0	10.0	368.0
8	0	5000	1325549682685	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05383876712885081	1.0	43.33511376384227	0.4333511376384227	100.0	0.0	50.0	795.0	7.95	71.0	12.0	17.0	0.0	10.0	420.0
9	0	5000	1325549685768	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050926522920664345	1.0	51.199790121419625	0.5119979012141962	100.0	0.0	48.0	1086.0	10.86	70.0	5.0	25.0	0.0	10.0	479.0
10	0	5000	1325549689196	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051163676684593186	1.0	40.26205676212181	0.40262056762121806	100.0	0.0	44.0	606.0	6.06	76.0	10.0	14.0	0.0	10.0	534.0
