Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	3000	1325544778747	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050613198175843824	0.6358038319662044	23.478863245261778	0.23478863245261777	100.0	0.0	29.0	241.0	2.41	85.0	0.0	15.0	0.0	10.0	34.0
2	0	3000	1325544779507	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05000862924279999	1.0	33.83718852138107	0.33837188521381073	100.0	0.0	28.0	355.0	3.55	76.0	1.0	23.0	0.0	10.0	76.0
3	0	3000	1325544780195	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05723634097666998	1.0	31.40647647632983	0.3140647647632983	100.0	0.0	26.0	425.0	4.25	80.0	0.0	20.0	0.0	10.0	124.0
4	0	3000	1325544780936	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052645209064456924	1.0	30.67159511188321	0.3067159511188321	100.0	0.0	30.0	300.0	3.0	87.0	0.0	13.0	0.0	10.0	166.0
5	0	3000	1325544781719	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05097921950459509	1.0	31.12434710865166	0.31124347108651657	100.0	0.0	31.0	291.0	2.91	86.0	0.0	14.0	0.0	10.0	206.0
6	0	3000	1325544782558	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06733106555418535	1.0	27.46602314068606	0.27466023140686063	100.0	0.0	28.0	228.0	2.28	90.0	0.0	10.0	0.0	10.0	242.0
7	0	3000	1325544783428	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06248914978607543	1.0	33.41969945952667	0.3341969945952667	100.0	0.0	27.0	346.0	3.46	83.0	0.0	17.0	0.0	10.0	292.0
8	0	3000	1325544784350	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.07582510963167396	1.0	31.97978172975462	0.3197978172975462	100.0	0.0	26.0	317.0	3.17	84.0	0.0	16.0	0.0	10.0	331.0
9	0	3000	1325544785314	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05128847714641532	1.0	29.294391349137072	0.2929439134913707	100.0	0.0	29.0	335.0	3.35	84.0	0.0	16.0	0.0	10.0	376.0
10	0	3000	1325544786327	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05463262294625309	0.9591623215120819	25.089490783773954	0.25089490783773954	100.0	0.0	32.0	318.0	3.18	88.0	0.0	12.0	0.0	10.0	417.0
