Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
1	0	5000	1325550460887	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	150.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05090724301640728	1.0	41.319570608047066	0.4131957060804707	100.0	0.0	48.0	739.0	7.39	77.0	6.0	17.0	0.0	10.0	49.0
2	0	5000	1325550461738	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	300.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.055342708482904436	1.0	38.66101632103767	0.3866101632103767	100.0	0.0	48.0	501.0	5.01	81.0	5.0	14.0	0.0	10.0	88.0
3	0	5000	1325550462608	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	450.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05114498115112065	1.0	39.06923214512509	0.39069232145125093	100.0	0.0	49.0	644.0	6.44	80.0	3.0	17.0	0.0	10.0	133.0
4	0	5000	1325550463444	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	600.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05558271720179952	1.0	46.684479342418854	0.46684479342418855	100.0	0.0	52.0	893.0	8.93	72.0	9.0	19.0	0.0	10.0	186.0
5	0	5000	1325550464332	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	750.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0561024390497471	1.0	47.58181977147591	0.4758181977147591	100.0	0.0	50.0	850.0	8.5	70.0	11.0	19.0	0.0	10.0	242.0
6	0	5000	1325550465272	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	900.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050935062618160026	1.0	40.99676191657573	0.4099676191657573	100.0	0.0	48.0	784.0	7.84	71.0	12.0	17.0	0.0	10.0	296.0
7	0	5000	1325550466277	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1050.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05220740357048287	1.0	42.14659488004125	0.4214659488004125	100.0	0.0	49.0	665.0	6.65	79.0	5.0	16.0	0.0	10.0	348.0
8	0	5000	1325550467312	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1200.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0530883331600917	1.0	46.6023852239622	0.466023852239622	100.0	0.0	52.0	866.0	8.66	72.0	7.0	21.0	0.0	10.0	399.0
9	0	5000	1325550468420	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1350.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.059513215308797364	1.0	50.821449857839525	0.5082144985783953	100.0	0.0	49.0	898.0	8.98	68.0	8.0	24.0	0.0	10.0	453.0
10	0	5000	1325550469585	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1500.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05380105991774782	1.0	43.76948620540508	0.4376948620540508	100.0	0.0	50.0	801.0	8.01	75.0	10.0	15.0	0.0	10.0	512.0
